model,horizon,curve_rmse,curve_mae_mean,manifold_off_manifold_rmse,manifold_correction_gain,tangent_move_residual_rmse,arb_discount_monotonicity_violations,arb_forward_smoothness,arb_scenario_stability
stage_b_sde_jacobian,21,0.122123,0.087297,0.648878,-0.006523,0.001745,0.16015,0.037525,2.979608
stage_b_sde_only,21,0.122173,0.087348,0.647888,-0.007436,0.001799,0.159402,0.037868,2.980132
stage_b_sde_both,21,1.756637,1.459415,1.256975,0.617022,0.84791,0.1,3.048931,4.026205
stage_b_sde_pde,21,1.756637,1.459415,1.256975,0.617022,0.84791,0.1,3.048931,4.026206
